policy,n_mechanisms,base_noise,perturbation_scale,runs,success_rate,correct_rate,median_n95,mean_n95,median_c95,mean_c95,median_posterior_true,mean_score_evals,mean_runtime_s,mean_orientation_switches
fixed_oed,8,0.75,0.0,8,0.0,0.125,36.0,36.0,43.573945402425764,54.0206386908192,0.125,350.0,0.0028417413749992626,0.0
fixed_oed,8,0.75,0.35,8,0.0,0.125,36.0,36.0,43.573945402425764,54.0206386908192,0.125,350.0,0.0028491835000004073,0.0
fixed_oed,8,1.5,0.0,8,0.0,0.125,36.0,36.0,43.573945402425764,54.0206386908192,0.125,350.0,0.0027730422500003016,0.0
fixed_oed,8,1.5,0.35,8,0.0,0.125,36.0,36.0,43.573945402425764,54.0206386908192,0.125,350.0,0.002799513999999892,0.0
fixed_oed,16,0.75,0.0,8,0.0,0.0,36.0,36.0,22.177412019621954,23.899853212030138,0.0625,350.0,0.002825162000000603,0.0
fixed_oed,16,0.75,0.35,8,0.0,0.0,36.0,36.0,22.177412019621954,23.899853212030138,0.0625,350.0,0.0028110647500008135,0.0
fixed_oed,16,1.5,0.0,8,0.0,0.0,36.0,36.0,22.177412019621954,23.899853212030138,0.0625,350.0,0.002853941125001924,0.0
fixed_oed,16,1.5,0.35,8,0.0,0.0,36.0,36.0,22.177412019621954,23.899853212030138,0.0625,350.0,0.0028172947499998102,0.0
full_oarl,8,0.75,0.0,8,0.375,1.0,36.0,24.375,17.441838144572372,16.637285962731827,0.9437081917139241,1900.0,0.013622124875000363,2.5
full_oarl,8,0.75,0.35,8,0.5,0.625,21.0,20.0,13.294808602593205,15.280775791020385,0.9601961294315204,1560.0,0.010961784250000495,2.0
full_oarl,8,1.5,0.0,8,0.0,0.25,36.0,36.0,23.605612203354028,23.94981281953549,0.16627922081107072,2800.0,0.01960952874999977,2.75
full_oarl,8,1.5,0.35,8,0.0,0.625,36.0,36.0,23.053757777738113,23.998095811228026,0.25446736235224837,2800.0,0.020105757624999665,2.75
full_oarl,16,0.75,0.0,8,0.125,0.625,36.0,32.125,17.940604051352025,16.113380248030893,0.5607896029724139,2500.0,0.01767582649999966,4.0
full_oarl,16,0.75,0.35,8,0.125,0.75,36.0,34.125,17.453832425606542,16.562640492843926,0.7216565820225828,2660.0,0.01873953612500001,4.375
full_oarl,16,1.5,0.0,8,0.0,0.25,36.0,36.0,16.196093674136776,16.934814723842432,0.12170209268035068,2800.0,0.01966118987499943,2.875
