seed,policy,regime,n_mechanisms,n_orientations,n_interventions,base_noise,perturbation_scale,lambda_stability,gamma_cost,ig_mode,budget,success_95,correct_argmax,n95,c95,total_cost,penalized_c95,posterior_true,score_evals,orientation_switches,runtime_s,true_h
0,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,24,28.07789610283035,28.07789610283035,28.07789610283035,0.9794007127681449,1920,13,0.0010479459997441154,8
1,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,12,7.555985223658943,7.555985223658943,7.555985223658943,0.9551356115019449,960,4,0.00040072599995255587,1
2,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,8,6.000870749567136,6.000870749567136,6.000870749567136,0.9745573411623779,640,4,0.00027735000003303867,7
3,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,4,5.161535715614017,5.161535715614017,5.161535715614017,0.976728676834444,320,2,0.00014994699995440897,10
4,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,4,3.372066542243132,3.372066542243132,3.372066542243132,0.9862545115075667,320,3,0.00014492899981632945,3
5,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,7,6.41151554868576,6.41151554868576,6.41151554868576,0.9632020901405066,560,5,0.00025881200008370797,9
6,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,19,32.25663241533271,32.25663241533271,32.25663241533271,0.9700526809894274,1520,7,0.0006121760002315568,1
7,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,14,25.697281046317137,25.697281046317137,25.697281046317137,0.9774227036193096,1120,8,0.0004513730000326177,10
8,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,5,5.929307096357491,5.929307096357491,5.929307096357491,0.9617835890387328,400,3,0.0002087359998768079,8
9,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,24,26.61024868051261,26.61024868051261,26.61024868051261,0.9633676390042032,1920,11,0.0008447780001006322,10
10,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,8,7.959684056333731,7.959684056333731,7.959684056333731,0.9754369082395091,640,6,0.0002687659998628078,8
11,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,10,13.481309582545839,13.481309582545839,13.481309582545839,0.9563760423347547,800,6,0.00031788099977347883,0
12,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,7,9.756132481992863,9.756132481992863,9.756132481992863,0.9532496555139895,560,5,0.00025667899990367005,0
13,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,13,17.95468463249676,17.95468463249676,17.95468463249676,0.9699199174224985,1040,6,0.0006887720001031994,6
14,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,28,25.876278965450084,25.876278965450084,25.876278965450084,0.9788721048093443,2240,13,0.0009056300000338524,1
15,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,6,10.857892949256325,10.857892949256325,10.857892949256325,0.9840490749347425,480,4,0.0002428570001029584,11
16,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,8,19.763908561710444,19.763908561710444,19.763908561710444,0.9792978950619364,640,4,0.00025465500038990285,1
17,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,4,2.8464070401870805,2.8464070401870805,2.8464070401870805,0.9905630107323277,320,3,0.0001515989997642464,3
18,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,35,60.83554735179821,60.83554735179821,60.83554735179821,0.9677881908780351,2800,18,0.001047385000219947,7
19,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,20,13.784889243101182,13.784889243101182,13.784889243101182,0.9544596564192316,1600,8,0.0006845460002296022,2
20,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,11,6.684163077536069,6.684163077536069,6.684163077536069,0.9537260353022324,880,6,0.00036655499980042805,5
21,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,29,38.53884484398839,38.53884484398839,38.53884484398839,0.9518811849148486,2320,13,0.0008788199997979973,2
22,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,19,14.6508996454995,14.6508996454995,14.6508996454995,0.9650990655594737,1520,4,0.0005930480001552496,7
23,generic_oed,standard,12,8,10,1.0,0.0,0.15,0.05,proxy,35,1,1,24,31.18132173277343,31.18132173277343,31.18132173277343,0.9591063512838234,1920,16,0.0007309560000976489,2
0,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,14,16.092930089408306,16.092930089408306,16.092930089408306,0.9560181768614322,1120,9,0.00046279000025606365,8
1,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,20,12.439098059804605,12.439098059804605,12.439098059804605,0.9648996890976738,1600,4,0.000636743000086426,1
2,generic_oed,standard,12,8,10,1.0,0.35,0.15,0.05,proxy,35,1,1,23,17.672729211869324,17.672729211869324,17.672729211869324,0.9754444730962685,1840,8,0.0006928879997758486,7
