lambda_stability,gamma_cost,objective,feasible_reliability_gate,median_paired_penalized_cost_reduction,mean_paired_penalized_cost_reduction,success_delta_vs_generic,correct_delta_vs_generic,full_success_rate,full_correct_rate,full_median_penalized_c95
0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.8020833333333334,0.8854166666666666,16.075521239503548
0.0,0.05,-1000000000.0,0,0.04820242780786019,-0.1258008712665109,-0.14583333333333334,-0.0625,0.65625,0.8229166666666666,12.684419396692519
0.0,0.01,-1000000000.0,0,0.0,-0.07627121261140514,-0.0625,-0.020833333333333332,0.7395833333333334,0.8645833333333334,14.495889115629208
0.0,0.03,-1000000000.0,0,0.0,-0.08802147772144998,-0.08333333333333333,-0.052083333333333336,0.71875,0.8333333333333334,12.69954301964025
0.0,0.1,-1000000000.0,0,0.0,-0.1467572017185845,-0.1875,-0.08333333333333333,0.6145833333333334,0.8020833333333334,12.275655788899009
0.02,0.0,-1000000000.0,0,0.0,-0.7381997474351971,-0.19791666666666666,-0.08333333333333333,0.6041666666666666,0.8020833333333334,21.19612740986218
0.02,0.01,-1000000000.0,0,0.0,-0.4917271933187721,-0.21875,-0.09375,0.5833333333333334,0.7916666666666666,18.92337067553817
0.02,0.03,-1000000000.0,0,0.0,-0.49283479385728973,-0.2604166666666667,-0.10416666666666667,0.5416666666666666,0.78125,17.04907097430788
0.02,0.05,-1000000000.0,0,0.0,-0.27812608181250636,-0.21875,-0.09375,0.5833333333333334,0.7916666666666666,15.135067851291446
0.02,0.1,-1000000000.0,0,0.0,-0.30517966858271,-0.23958333333333334,-0.11458333333333333,0.5625,0.7708333333333334,13.716312016348292
0.05,0.0,-1000000000.0,0,0.0,-1.41920636282096,-0.375,-0.125,0.4270833333333333,0.7604166666666666,62.03946723318895
0.05,0.01,-1000000000.0,0,0.0,-1.0837350812346476,-0.3854166666666667,-0.125,0.4166666666666667,0.7604166666666666,51.03420161574696
0.05,0.03,-1000000000.0,0,0.0,-1.2032574161685543,-0.4375,-0.15625,0.3645833333333333,0.7291666666666666,51.36452964025419
0.05,0.05,-1000000000.0,0,0.0,-1.573977296622217,-0.4375,-0.15625,0.3645833333333333,0.7291666666666666,49.4392028382345
0.05,0.1,-1000000000.0,0,0.0,-1.4300861027848846,-0.4166666666666667,-0.15625,0.3854166666666667,0.7291666666666666,47.79747497866846
0.1,0.1,-1000000000.0,0,-0.4305829436096117,-1.8893580529007377,-0.5104166666666666,-0.17708333333333334,0.2916666666666667,0.7083333333333334,48.810132140737295
0.1,0.05,-1000000000.0,0,-0.6444997622522095,-1.9854074606484728,-0.53125,-0.19791666666666666,0.2708333333333333,0.6875,51.37139781093441
0.1,0.01,-1000000000.0,0,-0.708428970729351,-2.228183381910787,-0.5208333333333334,-0.16666666666666666,0.28125,0.71875,53.84892831525377
0.1,0.03,-1000000000.0,0,-0.7234756020893303,-2.087961557321277,-0.53125,-0.1875,0.2708333333333333,0.6979166666666666,53.673347732111296
0.2,0.1,-1000000000.0,0,-0.8219826447976111,-2.8890309006767083,-0.59375,-0.17708333333333334,0.20833333333333334,0.7083333333333334,52.16541538605199
0.2,0.05,-1000000000.0,0,-0.9104030990930247,-3.150392908498661,-0.6145833333333334,-0.2604166666666667,0.1875,0.625,53.769053513828744
0.1,0.0,-1000000000.0,0,-1.0676472886636443,-2.94618856610206,-0.5208333333333334,-0.19791666666666666,0.28125,0.6875,70.0
0.2,0.03,-1000000000.0,0,-1.1812012014255862,-3.6853882914944656,-0.6354166666666666,-0.25,0.16666666666666666,0.6354166666666666,57.46114765531104
0.2,0.01,-1000000000.0,0,-1.3033206694184196,-3.9959233358938704,-0.6354166666666666,-0.21875,0.16666666666666666,0.6666666666666666,60.74641769547088
0.4,0.05,-1000000000.0,0,-1.408354241138066,-4.26109694507326,-0.6666666666666666,-0.3958333333333333,0.13541666666666666,0.4895833333333333,53.16538531410996
0.4,0.01,-1000000000.0,0,-1.502197692965681,-4.091693354563552,-0.6666666666666666,-0.3854166666666667,0.13541666666666666,0.5,60.17899671485443
0.4,0.1,-1000000000.0,0,-1.583113616307962,-4.652577709877102,-0.6875,-0.3854166666666667,0.11458333333333333,0.5,53.07909419874213
0.4,0.03,-1000000000.0,0,-1.594979715435726,-4.530367246009892,-0.6770833333333334,-0.3958333333333333,0.125,0.4895833333333333,60.17899671485443
0.2,0.0,-1000000000.0,0,-1.9501026230521286,-5.212422689255901,-0.6354166666666666,-0.22916666666666666,0.16666666666666666,0.65625,70.0
0.4,0.0,-1000000000.0,0,-2.0824058593689623,-5.168606638313548,-0.65625,-0.375,0.14583333333333334,0.5104166666666666,70.0
