condition,policy,runs,success_rate,correct_rate,median_n95,median_c95,median_penalized_c95,mean_score_evals,mean_runtime_s
informative_unstable,fixed_oed,100,0.0,0.12,36.0,,69.99148076229588,350.0,0.0011049748700224882
informative_unstable,full_oarl,100,0.91,0.96,10.5,10.43091245068069,11.61197922870311,1066.4,0.0004847651199725078
informative_unstable,generic_oed,100,0.91,0.96,10.5,10.43091245068069,11.61197922870311,1066.4,0.0004492329700042319
informative_unstable,oarl_no_stability,100,0.91,0.96,10.5,10.43091245068069,11.61197922870311,1066.4,0.00045066945001963175
informative_unstable,oracle,100,0.96,0.99,7.0,7.6549172263317224,7.972426208620398,842.4,0.0003941937699846676
informative_unstable,passive,100,0.0,0.12,36.0,,71.82818581670432,0.0,0.0005374068799847009
informative_unstable,random_orientation,100,0.39,0.58,36.0,24.562368539693374,72.48937652534973,0.0,0.0004809919500303295
no_orientation_value,fixed_oed,100,0.23,0.66,36.0,20.0,70.0,313.1,0.0009634703199935757
no_orientation_value,full_oarl,100,0.23,0.66,36.0,20.0,70.0,2504.8,0.0010589687300080186
no_orientation_value,generic_oed,100,0.23,0.66,36.0,20.0,70.0,2504.8,0.0009505528200270418
no_orientation_value,oarl_no_stability,100,0.23,0.66,36.0,20.0,70.0,2504.8,0.0009926417699989542
no_orientation_value,oracle,100,0.24,0.63,36.0,19.0,70.0,2491.2,0.0010561206700094772
no_orientation_value,passive,100,0.1,0.45,36.0,20.0,70.0,0.0,0.00048406051000256413
no_orientation_value,random_orientation,100,0.11,0.49,36.0,22.0,70.0,0.0,0.0005226480400051514
orientation_exclusive,fixed_oed,100,0.0,0.52,36.0,,70.10194848590285,350.0,0.0010726851599747534
orientation_exclusive,full_oarl,100,1.0,1.0,6.0,6.671866885254971,6.671866885254971,484.0,0.0002337679499942169
orientation_exclusive,generic_oed,100,1.0,1.0,6.0,6.671866885254971,6.671866885254971,484.0,0.00022011242999269597
orientation_exclusive,oarl_no_stability,100,1.0,1.0,6.0,6.671866885254971,6.671866885254971,484.0,0.00021947431002899975
orientation_exclusive,oracle,100,1.0,1.0,5.0,5.331691535422879,5.331691535422879,403.2,0.0002134888399632473
orientation_exclusive,passive,100,0.0,0.51,36.0,,67.09225719729442,0.0,0.0005097401700049887
orientation_exclusive,random_orientation,100,0.8,0.91,22.5,24.485838034021175,27.217563523117818,0.0,0.00035292677999677836
standard_clean,fixed_oed,100,0.0,0.06,36.0,,69.87603498284452,350.0,0.0010733030500296081
standard_clean,full_oarl,100,0.86,0.97,13.0,11.612426704540503,13.081298142919886,1245.6,0.0005469288000085725
standard_clean,generic_oed,100,0.86,0.97,13.0,11.612426704540503,13.081298142919886,1245.6,0.0004942620599877046
standard_clean,oarl_no_stability,100,0.86,0.97,13.0,11.612426704540503,13.081298142919886,1245.6,0.0005080820099919947
standard_clean,oracle,100,0.9,0.98,12.0,12.759970883667158,13.360458488588815,1168.0,0.0005156000500346635
standard_clean,passive,100,0.0,0.06,36.0,,76.03917689311086,0.0,0.0005092477799735207
standard_clean,random_orientation,100,0.44,0.82,36.0,27.891826893455985,69.09042317794027,0.0,0.00045884399001351996
standard_misspecified,fixed_oed,100,0.0,0.08,36.0,,68.9798642514753,350.0,0.0011094080100156134
standard_misspecified,full_oarl,100,0.82,0.94,15.0,13.538867382365446,14.997629014987034,1396.8,0.0006309344900091673
standard_misspecified,generic_oed,100,0.82,0.94,15.0,13.538867382365446,14.997629014987034,1396.8,0.0005697459599605281
standard_misspecified,oarl_no_stability,100,0.82,0.94,15.0,13.538867382365446,14.997629014987034,1396.8,0.00058100066001316
standard_misspecified,oracle,100,0.85,0.95,13.5,12.337929822476395,13.77472361328332,1304.8,0.0005915534199948525
standard_misspecified,passive,100,0.0,0.08,36.0,,71.17549207690897,0.0,0.0005409517700218203
standard_misspecified,random_orientation,100,0.34,0.69,36.0,24.805189095635903,73.74474708825771,0.0,0.00050483598000028
