block,policy,success_rate,correct_rate,false_high_conf_rate,median_n95,median_penalized_c95,mean_score_evals,median_runtime_s,mean_inadmissible_queries,mean_transported_updates
asymmetry_gate,generic_cost_tiebreak,0.94,0.98,0.0,10.0,11.908117908247966,1660.32,0.0007254354999943757,0.0,0.0
asymmetry_gate,generic_gated_oed,0.94,0.98,0.0,10.0,11.908117908247966,1660.32,0.00046741599999933214,0.0,0.0
asymmetry_gate,generic_oed,0.0,0.0,1.0,31.0,66.40445628806278,5760.0,0.0010149180000027513,29.82,0.0
asymmetry_gate,structured_oarl,0.94,0.98,0.0,10.0,11.908117908247966,1660.32,0.0009720934999961628,0.0,11.53
no_structure_control,generic_cost_tiebreak,0.85,0.96,0.0,8.0,10.917835837880656,2373.12,0.0007442494999949645,0.0,0.0
no_structure_control,structured_oarl,0.85,0.96,0.0,8.0,10.917835837880656,2373.12,0.0008702945000038653,0.0,12.36
quotient_exact,generic_cost_tiebreak,0.53,0.86,0.0,30.0,17.622762831395555,6537.6,0.0018770305000010978,0.0,0.0
quotient_exact,generic_oed,0.53,0.86,0.0,30.0,40.688289094996364,6537.6,0.0010419689999991988,0.0,0.0
quotient_exact,structured_oarl,0.53,0.86,0.0,30.0,17.622762831395555,1089.6,0.0018084714999986318,0.0,22.7
quotient_exact,structured_rep_oed,0.53,0.86,0.0,30.0,43.20140196721354,1089.6,0.0014638164999958292,0.0,0.0
