scale_O,policy,mean_score_evals,median_runtime_s,success_rate,correct_rate
8,generic_cost_tiebreak,2227.2,0.0008723230000029503,0.15,0.7
8,structured_oarl,1113.6,0.0008792134999993095,0.15,0.7
16,generic_cost_tiebreak,3936.0,0.0009701004999982388,0.25,0.4
16,structured_oarl,984.0,0.0008107600000002435,0.25,0.4
32,generic_cost_tiebreak,9177.6,0.0010652994999986731,0.05,0.6
32,structured_oarl,1147.2,0.0008837750000054712,0.05,0.6
64,generic_cost_tiebreak,16435.2,0.0012434285000111345,0.25,0.6
64,structured_oarl,1027.2,0.0010078024999984336,0.25,0.6
128,generic_cost_tiebreak,32716.8,0.0018849229999986505,0.4,0.8
128,structured_oarl,1022.4,0.0015103714999966655,0.4,0.8
256,generic_cost_tiebreak,66662.4,0.003274947499996017,0.2,0.65
256,structured_oarl,1041.6,0.002419620499999553,0.2,0.65
