error_kind,error_rate,metric,paired_mean_diff,ci95_low,ci95_high
false_merge,0.125,correct_argmax,-0.086,-0.114,-0.058
false_merge,0.125,success_95,-0.1,-0.132,-0.07
false_merge,0.125,false_high_confidence,0.032,0.016,0.048049999999999274
admissibility_fp,0.25,correct_argmax,-0.798,-0.832,-0.764
admissibility_fp,0.25,success_95,-0.74,-0.778,-0.7
admissibility_fp,0.25,false_high_confidence,0.784,0.748,0.818
admissibility_fn,0.25,correct_argmax,0.0,-0.01,0.012
admissibility_fn,0.25,success_95,-0.01,-0.03,0.008
admissibility_fn,0.25,false_high_confidence,0.002,0.0,0.006
transport_noise,0.02,correct_argmax,0.01,-0.008,0.03
transport_noise,0.02,success_95,0.01,-0.01,0.032
transport_noise,0.02,false_high_confidence,0.0,0.0,0.0
transport_noise,0.05,correct_argmax,-0.006,-0.028,0.018
transport_noise,0.05,success_95,0.016,-0.008,0.04
transport_noise,0.05,false_high_confidence,0.0,0.0,0.0
transport_noise,0.1,correct_argmax,-0.04,-0.068,-0.012
transport_noise,0.1,success_95,-0.036,-0.064,-0.008
transport_noise,0.1,false_high_confidence,-0.002,-0.014,0.01
transport_noise,0.2,correct_argmax,-0.098,-0.138,-0.06
transport_noise,0.2,success_95,-0.054,-0.088,-0.022
transport_noise,0.2,false_high_confidence,0.028,0.01,0.04604999999999927
transport_noise,0.4,correct_argmax,-0.282,-0.33,-0.234
transport_noise,0.4,success_95,-0.164,-0.208,-0.12
transport_noise,0.4,false_high_confidence,0.136,0.106,0.168
