ig_mode,n_orientations,v05_policy,runs,correct_rate,success_rate,median_score_evals,median_runtime_s,median_certificate_runtime_s,median_end_to_end_runtime_s,pair_precision,pair_recall
proxy,8,discovered_quotient,20,0.85,0.45,384.0,0.00136976449994105,0.007605363500033451,0.008646586999930098,1.0,1.0
proxy,8,generic_oed,20,0.85,0.45,768.0,0.00110315649999385,0.0,0.00110315649999385,1.0,0.0
proxy,8,oracle_quotient,20,0.85,0.45,384.0,0.0009201805000884,0.0,0.0009201805000884,1.0,1.0
proxy,16,discovered_quotient,20,0.65,0.1,384.0,0.0014775670001654,0.01632548099996705,0.017892902499852398,1.0,1.0
proxy,16,generic_oed,20,0.65,0.1,1536.0,0.00152718649997035,0.0,0.00152718649997035,1.0,0.0
proxy,16,oracle_quotient,20,0.65,0.1,384.0,0.0014630504999786,0.0,0.0014630504999786,1.0,1.0
proxy,24,discovered_quotient,20,0.65,0.3,384.0,0.00093831250001125,0.0228468115001305,0.023758549000149252,1.0,1.0
proxy,24,generic_oed,20,0.65,0.3,2304.0,0.0014187480001054999,0.0,0.0014187480001054999,1.0,0.0
proxy,24,oracle_quotient,20,0.65,0.3,384.0,0.0013931544997376,0.0,0.0013931544997376,1.0,1.0
quadrature,8,discovered_quotient,20,0.85,0.45,384.0,0.3203767545001028,0.00571213800003525,0.3237723990000631,1.0,1.0
quadrature,8,generic_oed,20,0.85,0.45,768.0,0.9381246175000798,0.0,0.9381246175000798,1.0,0.0
quadrature,8,oracle_quotient,20,0.85,0.45,384.0,0.36165135849978464,0.0,0.36165135849978464,1.0,1.0
quadrature,16,discovered_quotient,20,0.65,0.1,384.0,0.5552862669999286,0.015589222000016799,0.5680165274998217,1.0,1.0
quadrature,16,generic_oed,20,0.65,0.1,1536.0,2.207411612499982,0.0,2.207411612499982,1.0,0.0
quadrature,16,oracle_quotient,20,0.65,0.1,384.0,0.593903520999902,0.0,0.593903520999902,1.0,1.0
quadrature,24,discovered_quotient,20,0.6,0.2,384.0,0.30047095350005293,0.0116341835000639,0.31114347950006044,1.0,1.0
quadrature,24,generic_oed,20,0.6,0.2,2304.0,2.0990997669998706,0.0,2.0990997669998706,1.0,0.0
quadrature,24,oracle_quotient,20,0.6,0.2,384.0,0.3185916054999325,0.0,0.3185916054999325,1.0,1.0
