H,O,A,C,seed,oracle_correct,discovered_correct,oracle_success_95,discovered_success_95,oracle_false_high_confidence,discovered_false_high_confidence,oracle_score_evals,discovered_score_evals,oracle_transported_updates,discovered_transported_updates
8,8,6,4,2000,1,1,1,1,0,0,456,570,19,19
8,8,6,4,2001,0,0,0,0,0,0,480,720,20,20
8,8,6,4,2002,1,1,1,1,0,0,72,108,3,3
8,8,6,4,2003,1,1,1,1,0,0,288,576,12,12
8,8,6,4,2004,1,1,1,1,0,0,48,84,2,2
8,8,6,4,2005,0,0,0,0,0,0,480,960,20,20
8,8,6,4,2006,1,1,1,1,0,0,360,540,15,15
8,8,6,4,2007,1,1,1,1,0,0,72,90,3,3
8,8,6,4,2008,1,1,1,1,0,0,336,672,14,14
8,8,6,4,2009,1,1,1,1,0,0,144,252,6,6
8,8,6,4,2010,1,1,1,1,0,0,432,756,18,18
8,8,6,4,2011,1,1,1,1,0,0,480,960,20,20
8,8,6,4,2012,1,1,1,1,0,0,120,210,5,5
8,8,6,4,2013,1,1,1,1,0,0,312,468,13,13
8,8,6,4,2014,1,1,0,0,0,0,480,720,20,20
8,8,6,4,2015,1,1,0,0,0,0,480,720,20,20
8,8,6,4,2016,1,1,1,1,0,0,264,396,11,11
8,8,6,4,2017,1,1,0,0,0,0,480,960,20,20
8,8,6,4,2018,0,0,0,0,0,0,480,840,20,20
8,8,6,4,2019,1,1,1,1,0,0,336,504,14,14
8,8,6,4,2020,1,1,1,1,0,0,264,462,11,11
8,8,6,4,2021,0,0,0,0,0,0,480,600,20,20
8,8,6,4,2022,1,1,1,1,0,0,288,432,12,12
8,8,6,4,2023,1,1,1,1,0,0,360,540,15,15
8,8,6,4,2024,1,1,1,1,0,0,336,504,14,14
12,8,7,4,2000,1,1,0,0,0,0,560,840,20,20
12,8,7,4,2001,1,1,1,1,0,0,196,343,7,7
12,8,7,4,2002,1,1,1,1,0,0,224,336,8,8
12,8,7,4,2003,0,0,0,0,0,0,560,1120,20,20
12,8,7,4,2004,1,1,0,0,0,0,560,980,20,20
12,8,7,4,2005,0,1,0,0,0,0,560,700,20,20
12,8,7,4,2006,1,1,0,0,0,0,560,980,20,20
12,8,7,4,2007,1,1,1,1,0,0,476,714,17,17
12,8,7,4,2008,1,1,0,0,0,0,560,980,20,20
12,8,7,4,2009,0,0,0,0,0,0,560,1120,20,20
12,8,7,4,2010,1,1,0,0,0,0,560,980,20,20
12,8,7,4,2011,1,1,1,1,0,0,336,588,12,12
12,8,7,4,2012,0,0,0,0,0,0,560,980,20,20
12,8,7,4,2013,0,0,0,0,0,0,560,1120,20,20
12,8,7,4,2014,1,1,0,0,0,0,560,840,20,20
12,8,7,4,2015,1,1,1,1,0,0,560,840,20,20
12,8,7,4,2016,1,1,1,1,0,0,308,385,11,11
12,8,7,4,2017,1,1,0,0,0,0,560,1120,20,20
12,8,7,4,2018,0,0,0,0,0,0,560,980,20,20
12,8,7,4,2019,1,1,0,0,0,0,560,980,20,20
12,8,7,4,2020,1,1,0,0,0,0,560,840,20,20
12,8,7,4,2021,0,0,0,0,0,0,560,980,20,20
12,8,7,4,2022,0,0,0,0,0,0,560,980,20,20
12,8,7,4,2023,1,1,0,0,0,0,560,980,20,20
12,8,7,4,2024,1,1,1,1,0,0,280,350,10,10
16,12,8,4,2000,1,1,0,0,0,0,640,1760,20,20
16,12,8,4,2001,1,1,1,1,0,0,384,864,12,12
16,12,8,4,2002,1,1,0,0,0,0,640,1280,20,20
16,12,8,4,2003,1,1,1,1,0,0,384,960,12,12
16,12,8,4,2004,1,1,0,0,0,0,640,1120,20,20
16,12,8,4,2005,0,0,0,0,1,1,640,1120,20,20
16,12,8,4,2006,1,1,0,0,0,0,640,1280,20,20
16,12,8,4,2007,1,1,1,1,0,0,192,384,6,6
16,12,8,4,2008,0,0,0,0,0,0,640,1920,20,20
16,12,8,4,2009,0,0,0,0,0,0,640,1920,20,20
16,12,8,4,2010,1,1,0,0,0,0,640,1280,20,20
16,12,8,4,2011,0,1,0,0,0,0,640,1120,20,20
16,12,8,4,2012,1,1,0,0,0,0,640,960,20,20
16,12,8,4,2013,1,1,0,0,0,0,640,1760,20,20
16,12,8,4,2014,1,1,1,1,0,0,416,728,13,13
16,12,8,4,2015,1,1,0,0,0,0,640,1600,20,20
16,12,8,4,2016,1,1,1,1,0,0,512,1280,16,16
16,12,8,4,2017,1,1,0,0,0,0,640,1280,20,20
16,12,8,4,2018,1,1,1,1,0,0,576,1728,18,18
16,12,8,4,2019,1,1,0,0,0,0,640,1600,20,20
16,12,8,4,2020,1,1,0,0,0,0,640,1440,20,20
16,12,8,4,2021,0,0,0,0,0,0,640,1600,20,20
16,12,8,4,2022,1,1,0,0,0,0,640,1440,20,20
16,12,8,4,2023,1,1,0,0,0,0,640,1280,20,20
16,12,8,4,2024,0,0,0,0,0,0,640,1280,20,20
12,16,8,4,2000,0,0,0,0,0,0,640,2400,20,20
12,16,8,4,2001,0,0,0,0,0,0,640,1760,20,20
12,16,8,4,2002,1,1,0,0,0,0,640,1920,20,20
12,16,8,4,2003,0,0,0,0,0,0,640,2560,20,20
12,16,8,4,2004,1,1,0,0,0,0,640,2080,20,20
12,16,8,4,2005,1,1,0,0,0,0,640,2080,20,20
12,16,8,4,2006,1,1,0,0,0,0,640,2560,20,20
12,16,8,4,2007,1,1,1,1,0,0,320,880,10,10
12,16,8,4,2008,1,1,0,0,0,0,640,1600,20,20
12,16,8,4,2009,1,1,0,0,0,0,640,2560,20,20
12,16,8,4,2010,1,1,1,1,0,0,128,384,4,4
12,16,8,4,2011,1,1,1,1,0,0,160,600,5,5
12,16,8,4,2012,1,1,0,0,0,0,640,1760,20,20
12,16,8,4,2013,1,1,1,1,0,0,352,1144,11,11
12,16,8,4,2014,1,1,1,1,0,0,576,1296,18,18
12,16,8,4,2015,1,1,0,0,0,0,640,1760,20,20
12,16,8,4,2016,1,1,0,0,0,0,640,2560,20,20
12,16,8,4,2017,1,1,1,1,0,0,544,1904,17,17
12,16,8,4,2018,0,0,0,0,0,0,640,2560,20,20
12,16,8,4,2019,1,1,0,0,0,0,640,1920,20,20
12,16,8,4,2020,0,0,0,0,0,0,640,1600,20,20
12,16,8,4,2021,0,0,0,0,0,0,640,1600,20,20
12,16,8,4,2022,1,1,1,1,0,0,576,1440,18,18
12,16,8,4,2023,1,1,0,0,0,0,640,2400,20,20
12,16,8,4,2024,1,1,1,1,0,0,192,720,6,6
