H,O,A,C,seed,discovered_classes,compression_fraction,pair_tp,pair_fp,pair_fn,pair_tn,pair_precision,pair_recall,accepted_certificates,mapping_errors,max_scale_relative_error,max_offset_error_z,certificate_comparisons,certificate_runtime_s
8,8,6,4,2000,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.022053143896437977,0.008654258460604322,22800,0.01682028900000887
8,8,6,4,2001,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.009187314355639797,0.008330664083805991,24000,0.01496519500000204
8,8,6,4,2002,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.003780161353474476,0.00962317744169109,25200,0.017604930000004515
8,8,6,4,2003,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022705768000008675
8,8,6,4,2004,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.002187705743482926,0.00038953427376074116,27600,0.018933863999990308
8,8,6,4,2005,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.023075035000005073
8,8,6,4,2006,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.008466010510522981,0.004594919974873047,26400,0.01873957300000484
8,8,6,4,2007,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.008098934369485278,0.004013516414985429,22800,0.016615367000014203
8,8,6,4,2008,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022719093000006296
8,8,6,4,2009,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.005281701780863957,0.010582076055212945,30000,0.02124666000000275
8,8,6,4,2010,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.010308304144752478,0.0037193073762486206,28800,0.01959282100000337
8,8,6,4,2011,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.024878273000012996
8,8,6,4,2012,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.0018024927971416194,0.0014381958973506354,27600,0.01682499700001472
8,8,6,4,2013,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.007099086238768093,0.005370220882084857,26400,0.018595133999980362
8,8,6,4,2014,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.006419546562477452,0.006914432965776611,25200,0.015256306999987146
8,8,6,4,2015,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.009920401501952947,0.0032728464083596523,25200,0.01748920500000395
8,8,6,4,2016,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.005753370269352187,0.005610391174570802,25200,0.01835558700000206
8,8,6,4,2017,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02275572100001
8,8,6,4,2018,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.004932850005386014,0.00029291841060098206,27600,0.01871351400001231
8,8,6,4,2019,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.005656109560811418,0.01032874398597934,26400,0.018433321999992813
8,8,6,4,2020,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.00014768093766992507,0.003323874590802567,30000,0.020494549999995115
8,8,6,4,2021,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.01918809103548913,0.006178140146979207,22800,0.01637687299998447
8,8,6,4,2022,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.010728632700350627,0.005025077442039845,24000,0.014743081000005986
8,8,6,4,2023,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.009487504587071038,0.002745970593300716,24000,0.01773509299999887
8,8,6,4,2024,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.03923936111157866,0.006277407716094376,25200,0.017626148999994484
8,8,6,4,2025,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.002023156144483451,0.003395441459062753,27600,0.0160784480000018
8,8,6,4,2026,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.005673949801890399,0.007022816158967818,25200,0.015291060999999218
8,8,6,4,2027,5,0.375,3.0,0.0,1.0,24.0,1.0,0.75,3,0,0.012594167868088535,0.012567577934945912,22800,0.01623369699998989
8,8,6,4,2028,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.004130725730323137,0.004850756454120948,30000,0.020451040000011744
8,8,6,4,2029,7,0.125,1.0,0.0,3.0,24.0,1.0,0.25,1,0,0.001980997197899792,0.006263902858924819,27600,0.016132788999982495
8,8,6,4,2030,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.02266694499999744
8,8,6,4,2031,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.0059855331485180185,0.001961850244642359,26400,0.01851850099998842
8,8,6,4,2032,8,0.0,0.0,0.0,4.0,24.0,1.0,0.0,0,0,0.0,0.0,33600,0.022505835000004026
8,8,6,4,2033,6,0.25,2.0,0.0,2.0,24.0,1.0,0.5,2,0,0.01099164029723343,0.007356642024535021,26400,0.018581949000008535
