world,policy,accuracy,unknown_rate,mean_probes,mean_cost,mean_planning_evals
exact_redundancy,active_decision,1,0,1,1.0,0
exact_redundancy,exhaustive,1,0,4,4.0,0
exact_redundancy,fixed,1,0,1,1.0,0
exact_redundancy,greedy_feature,1,0,1,1.0,0
exact_redundancy,oarl,1,0,1,1.0,3
exact_redundancy,oarl_no_synergy,1,0,1,1.0,0
exact_redundancy,oarl_no_transport,1,0,1,1.0,6
exact_redundancy,random,1,0,1.6875,1.6875,0
exact_redundancy,two_step,1,0,1,1.0,6
fundamental_insufficiency,active_decision,0,1,3,3.0,0
fundamental_insufficiency,exhaustive,0,1,3,3.0,0
fundamental_insufficiency,fixed,0,1,3,3.0,0
fundamental_insufficiency,greedy_feature,0,1,3,3.0,0
fundamental_insufficiency,oarl,0,1,2,2.0,1
fundamental_insufficiency,oarl_no_synergy,0,1,2,2.0,0
fundamental_insufficiency,oarl_no_transport,0,1,3,3.0,4
fundamental_insufficiency,random,0,1,3,3.0,0
fundamental_insufficiency,two_step,0,1,3,3.0,4
higher_order_complementarity,active_decision,1,0,3,3.0,0
higher_order_complementarity,exhaustive,1,0,3,3.0,0
higher_order_complementarity,fixed,1,0,3,3.0,0
higher_order_complementarity,greedy_feature,1,0,3,3.0,0
higher_order_complementarity,oarl,1,0,3,3.0,4
higher_order_complementarity,oarl_no_synergy,1,0,3,3.0,0
higher_order_complementarity,oarl_no_transport,1,0,3,3.0,4
higher_order_complementarity,random,1,0,3,3.0,0
higher_order_complementarity,two_step,1,0,3,3.0,4
misleading_similarity,active_decision,1,0,1,1.0,0
misleading_similarity,exhaustive,1,0,4,4.0,0
misleading_similarity,fixed,1,0,2,2.0,0
misleading_similarity,greedy_feature,1,0,2,2.0,0
misleading_similarity,oarl,1,0,1,1.0,6
misleading_similarity,oarl_no_synergy,1,0,1,1.0,0
misleading_similarity,oarl_no_transport,1,0,1,1.0,6
misleading_similarity,random,1,0,2.125,2.125,0
misleading_similarity,two_step,1,0,1,1.0,6
pure_complementarity,active_decision,1,0,3,3.0,0
pure_complementarity,exhaustive,1,0,4,4.0,0
pure_complementarity,fixed,1,0,3,3.0,0
pure_complementarity,greedy_feature,1,0,2,2.0,0
pure_complementarity,oarl,1,0,2,2.0,4
pure_complementarity,oarl_no_synergy,1,0,3,3.0,0
pure_complementarity,oarl_no_transport,1,0,2,2.0,9
pure_complementarity,random,1,0,2.9375,2.9375,0
pure_complementarity,two_step,1,0,2,2.0,9
single_view,active_decision,1,0,1,1.0,0
single_view,exhaustive,1,0,3,3.0,0
single_view,fixed,1,0,1,1.0,0
single_view,greedy_feature,1,0,1,1.0,0
single_view,oarl,1,0,1,1.0,3
single_view,oarl_no_synergy,1,0,1,1.0,0
single_view,oarl_no_transport,1,0,1,1.0,3
single_view,random,1,0,1.3125,1.3125,0
single_view,two_step,1,0,1,1.0,3
